acropol	{7a326bdd-0e16-401c-b275-0330067879a4}
agn_fambarnweathered_3	{bd0e1c34-7ff3-419f-8e0f-ef7288be0e02}
agn_fambarnweathered_4	{980b2b54-8e25-41a2-a33e-72699ef73824}
agn_fambarnwhite_1	{ac3a0b8c-00ff-4289-b705-d3cbffc5a718}
agn_fambarnwhite_2	{7887061e-3c21-4e3f-a3d3-fe8605683f42}
agn_fambarnwhite_3	{946c2207-0b3f-440b-abb2-9d38712db2ec}
agn_fambarnwhite_4	{50b6fbb1-072d-477d-acd4-f093b355edd4}
agn_farmbarnbrown_1	{76b58889-8056-4463-8807-16a2a9b79750}
agn_farmbarnbrown_2	{9b38d9f4-7e19-4041-90af-d7cae81b39ce}
agn_farmbarnbrown_3	{abf895b3-48e5-4110-b215-dc53b107a76c}
agn_farmbarnbrown_4	{de245111-5d95-4c05-8129-731a2c42120d}
agn_farmbarndutch_1	{a15855a4-c145-4466-b148-7268260bf6fa}
agn_farmbarndutch_2	{e1a49005-cd5e-42bb-8b8e-9cdfffe93049}
agn_farmbarndutch_3	{7dd79ef1-08d8-47aa-b421-fc14bfcbe565}
agn_farmbarndutch_4	{5af10cf0-f77b-49c1-a05c-cdc7ad72cfb8}
agn_farmbarnfrench_1	{192e86e1-956f-4343-b1f6-89415ff13c68}
agn_farmbarnfrench_2	{b5a02965-28d9-4ea1-95be-c40f0b0fdac3}
agn_farmbarnfrench_3	{4e4c621c-df3e-4a13-83ce-035323a20215}
agn_farmbarnfrench_4	{79545b91-ab9f-44fd-acf1-5c163447f859}
agn_farmbarngerman_1	{5b0c20d9-d744-4c4b-af7a-51cc1d97d161}
agn_farmbarngerman_2	{aac04f18-6825-4c22-82a9-3233ed8a5719}
agn_farmbarngerman_3	{5bf97cca-f996-4813-97ab-e6348c2ed68d}
agn_farmbarngerman_4	{ae985cf3-0603-44da-8e46-0c8bf7fe1995}
agn_farmbarnquaker_1	{045533d1-ab49-42c4-9dc9-0822c4e04a85}
agn_farmbarnquaker_2	{bb1f2519-8340-4a67-94c9-b04ae4ad397b}
agn_farmbarnquaker_3	{2b6167a0-ebc4-495f-a9a8-e763b166f867}
agn_farmbarnquaker_4	{82f9dc6e-f147-4401-b38a-aa741e56e9d2}
agn_farmbunkhouse_1	{76432052-8237-4abe-b1dc-af9d70dece19}
agn_farmbunkhouse_2	{530936df-caaa-40f0-b93e-e89c2dd24170}
agn_farmbunkhouse_3	{6cb3b7bb-fb2c-4a93-8c5f-af6d0fcca8dd}
agn_farmbunkhouse_4	{38c9e6b2-af09-406b-94ff-67d119393273}
agn_farmcoop_1	{9d3ca229-bf36-452e-98a4-407f558fc696}
agn_farmcoop_2	{fea9c1d2-4bb6-4da5-8a6e-a80f4c35440b}
agn_farmcoop_3	{8d8deb9c-3eab-4ede-b2da-cf517780a6ab}
